x_m,y_m
1.000000000000003553e+00,-1.468531468531457662e-01
1.100000000000003419e+00,-1.499999999999989675e-01
1.200000000000004174e+00,-1.499999999999989675e-01
1.300000000000004263e+00,-1.499999999999989675e-01
1.450000000000004841e+00,-1.499999999999989675e-01
1.600000000000004752e+00,-1.499999999999989675e-01
1.700000000000005507e+00,-1.499999999999989675e-01
1.850000000000005418e+00,-1.458041958041947084e-01
1.950000000000005729e+00,-1.519813519813509872e-01
2.050000000000006484e+00,-1.698135198135191093e-01
2.150000000000006573e+00,-1.899766899766896500e-01
2.250000000000007550e+00,-2.031468531468530458e-01
2.350000000000007638e+00,-1.999999999999998446e-01
2.450000000000007727e+00,-1.999999999999998446e-01
2.550000000000008260e+00,-1.999999999999998446e-01
2.700000000000008171e+00,-1.999999999999998446e-01
2.800000000000008704e+00,-1.999999999999998446e-01
2.900000000000008793e+00,-1.999999999999998446e-01
3.000000000000009770e+00,-1.999999999999998446e-01
3.150000000000009681e+00,-1.999999999999998446e-01
3.250000000000010658e+00,-1.999999999999998446e-01
3.350000000000010303e+00,-2.073426573426571662e-01
3.450000000000010392e+00,-1.879953379953376857e-01
3.550000000000010481e+00,-1.499999999999996614e-01
3.650000000000011013e+00,-1.120046620046617480e-01
3.750000000000011546e+00,-9.265734265734254516e-02
3.850000000000011191e+00,-9.999999999999992228e-02
3.950000000000011724e+00,-9.999999999999992228e-02
4.050000000000012257e+00,-9.999999999999992228e-02
4.200000000000012612e+00,-9.999999999999992228e-02
4.300000000000013145e+00,-9.999999999999992228e-02
4.400000000000012790e+00,-1.031468531468531236e-01
4.500000000000013323e+00,-8.997668997668972768e-02
4.600000000000013856e+00,-6.981351981351921476e-02
4.700000000000013500e+00,-5.198135198135107882e-02
4.800000000000014921e+00,-4.580419580419479303e-02
4.900000000000014566e+00,-4.999999999999906602e-02
5.050000000000014921e+00,-5.419580419580317943e-02
5.150000000000014566e+00,-5.536130536130459689e-02
5.257342657342672254e+00,-2.552447552447477744e-02
5.345337995338010906e+00,4.463869463869549192e-02
5.395337995338010728e+00,1.458041958041968733e-01
5.407342657342673498e+00,2.500000000000014988e-01
5.400000000000016342e+00,3.500000000000015321e-01
5.400000000000016342e+00,4.500000000000020650e-01
5.400000000000016342e+00,5.500000000000022649e-01
5.400000000000016342e+00,6.500000000000023537e-01
5.400000000000016342e+00,7.500000000000029976e-01
5.400000000000016342e+00,9.000000000000027978e-01
5.400000000000016342e+00,1.000000000000003553e+00
5.396853146853162642e+00,1.100000000000003419e+00
5.410023310023325926e+00,1.200000000000004174e+00
5.430186480186497633e+00,1.300000000000004263e+00
5.448018648018665644e+00,1.400000000000003908e+00
5.454195804195821395e+00,1.500000000000004885e+00
5.446853146853164240e+00,1.600000000000004752e+00
5.460023310023327525e+00,1.700000000000005507e+00
